Phi[deg],Theta[deg],dB(DirTotal)
-180,0,-52.0005
-178,0,-52.0005
-176,0,-52.0005
-174,0,-52.0005
-172,0,-52.0005
-170,0,-52.0005
-168,0,-52.0005
-166,0,-52.0005
-164,0,-52.0005
-162,0,-52.0005
-160,0,-52.0005
-158,0,-52.0005
-156,0,-52.0005
-154,0,-52.0005
-152,0,-52.0005
-150,0,-52.0005
-148,0,-52.0005
-146,0,-52.0005
-144,0,-52.0005
-142,0,-52.0005
-140,0,-52.0005
-138,0,-52.0005
-136,0,-52.0005
-134,0,-52.0005
-132,0,-52.0005
-130,0,-52.0005
-128,0,-52.0005
-126,0,-52.0005
-124,0,-52.0005
-122,0,-52.0005
-120,0,-52.0005
-118,0,-52.0005
-116,0,-52.0005
-114,0,-52.0005
-112,0,-52.0005
-110,0,-52.0005
-108,0,-52.0005
-106,0,-52.0005
-104,0,-52.0005
-102,0,-52.0005
-100,0,-52.0005
-98,0,-52.0005
-96,0,-52.0005
-94,0,-52.0005
-92,0,-52.0005
-90,0,-52.0005
-88,0,-52.0005
-86,0,-52.0005
-84,0,-52.0005
-82,0,-52.0005
-80,0,-52.0005
-78,0,-52.0005
-76,0,-52.0005
-74,0,-52.0005
-72,0,-52.0005
-70,0,-52.0005
-68,0,-52.0005
-66,0,-52.0005
-64,0,-52.0005
-62,0,-52.0005
-60,0,-52.0005
-58,0,-52.0005
-56,0,-52.0005
-54,0,-52.0005
-52,0,-52.0005
-50,0,-52.0005
-48,0,-52.0005
-46,0,-52.0005
-44,0,-52.0005
-42,0,-52.0005
-40,0,-52.0005
-38,0,-52.0005
-36,0,-52.0005
-34,0,-52.0005
-32,0,-52.0005
-30,0,-52.0005
-28,0,-52.0005
-26,0,-52.0005
-24,0,-52.0005
-22,0,-52.0005
-20,0,-52.0005
-18,0,-52.0005
-16,0,-52.0005
-14,0,-52.0005
-12,0,-52.0005
-10,0,-52.0005
-8,0,-52.0005
-6,0,-52.0005
-4,0,-52.0005
-2,0,-52.0005
0,0,-52.0005
2,0,-52.0005
4,0,-52.0005
6,0,-52.0005
8,0,-52.0005
10,0,-52.0005
12,0,-52.0005
14,0,-52.0005
16,0,-52.0005
18,0,-52.0005
20,0,-52.0005
22,0,-52.0005
24,0,-52.0005
26,0,-52.0005
28,0,-52.0005
30,0,-52.0005
32,0,-52.0005
34,0,-52.0005
36,0,-52.0005
38,0,-52.0005
40,0,-52.0005
42,0,-52.0005
44,0,-52.0005
46,0,-52.0005
48,0,-52.0005
50,0,-52.0005
52,0,-52.0005
54,0,-52.0005
56,0,-52.0005
58,0,-52.0005
60,0,-52.0005
62,0,-52.0005
64,0,-52.0005
66,0,-52.0005
68,0,-52.0005
70,0,-52.0005
72,0,-52.0005
74,0,-52.0005
76,0,-52.0005
78,0,-52.0005
80,0,-52.0005
82,0,-52.0005
84,0,-52.0005
86,0,-52.0005
88,0,-52.0005
90,0,-52.0005
92,0,-52.0005
94,0,-52.0005
96,0,-52.0005
98,0,-52.0005
100,0,-52.0005
102,0,-52.0005
104,0,-52.0005
106,0,-52.0005
108,0,-52.0005
110,0,-52.0005
112,0,-52.0005
114,0,-52.0005
116,0,-52.0005
118,0,-52.0005
120,0,-52.0005
122,0,-52.0005
124,0,-52.0005
126,0,-52.0005
128,0,-52.0005
130,0,-52.0005
132,0,-52.0005
134,0,-52.0005
136,0,-52.0005
138,0,-52.0005
140,0,-52.0005
142,0,-52.0005
144,0,-52.0005
146,0,-52.0005
148,0,-52.0005
150,0,-52.0005
152,0,-52.0005
154,0,-52.0005
156,0,-52.0005
158,0,-52.0005
160,0,-52.0005
162,0,-52.0005
164,0,-52.0005
166,0,-52.0005
168,0,-52.0005
170,0,-52.0005
172,0,-52.0005
174,0,-52.0005
176,0,-52.0005
178,0,-52.0005
180,0,-52.0005
-180,2,-29.8292
-178,2,-29.8442
-176,2,-29.8587
-174,2,-29.8727
-172,2,-29.8862
-170,2,-29.8992
-168,2,-29.9116
-166,2,-29.9234
-164,2,-29.9346
-162,2,-29.9452
-160,2,-29.9551
-158,2,-29.9643
-156,2,-29.9729
-154,2,-29.9807
-152,2,-29.9879
-150,2,-29.9943
-148,2,-30
-146,2,-30.0049
-144,2,-30.0091
-142,2,-30.0125
-140,2,-30.0151
-138,2,-30.017
-136,2,-30.0181
-134,2,-30.0184
-132,2,-30.018
-130,2,-30.0168
