"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,-180,-46.1764040278036
2.4,0,-179,-34.6941743296393
2.4,0,-178,-29.1310950375125
2.4,0,-177,-25.7316104031945
2.4,0,-176,-23.285695819611
2.4,0,-175,-21.3749385223548
2.4,0,-174,-19.8065196480967
2.4,0,-173,-18.4758148801977
2.4,0,-172,-17.3197384972522
2.4,0,-171,-16.2973308916637
2.4,0,-170,-15.3804993828521
2.4,0,-169,-14.5491438370648
2.4,0,-168,-13.7883910303272
2.4,0,-167,-13.086930224186
2.4,0,-166,-12.4359625938731
2.4,0,-165,-11.8285114931487
2.4,0,-164,-11.2589543849119
2.4,0,-163,-10.7226961059602
2.4,0,-162,-10.2159351632094
2.4,0,-161,-9.7354929797528
2.4,0,-160,-9.27868677656851
2.4,0,-159,-8.84323335276717
2.4,0,-158,-8.42717516347617
2.4,0,-157,-8.02882276369729
2.4,0,-156,-7.64670944921077
2.4,0,-155,-7.27955511407277
2.4,0,-154,-6.9262371606946
2.4,0,-153,-6.58576686898627
2.4,0,-152,-6.2572700359179
2.4,0,-151,-5.93997098830119
2.4,0,-150,-5.63317928415499
2.4,0,-149,-5.33627857492938
2.4,0,-148,-5.04871721799288
2.4,0,-147,-4.77000031713393
2.4,0,-146,-4.49968293610995
2.4,0,-145,-4.23736428198134
2.4,0,-144,-3.98268269503498
2.4,0,-143,-3.73531131339843
2.4,0,-142,-3.49495430507202
2.4,0,-141,-3.26134357961891
2.4,0,-140,-3.0342359073159
2.4,0,-139,-2.81341038605628
2.4,0,-138,-2.59866620637669
2.4,0,-137,-2.3898206731611
2.4,0,-136,-2.18670744924921
2.4,0,-135,-1.98917499164912
2.4,0,-134,-1.79708515556044
2.4,0,-133,-1.61031194514337
2.4,0,-132,-1.42874039306666
2.4,0,-131,-1.25226555345154
2.4,0,-130,-1.08079159499216
2.4,0,-129,-0.914230982851366
2.4,0,-128,-0.752503739464096
2.4,0,-127,-0.595536775678187
2.4,0,-126,-0.443263284763884
2.4,0,-125,-0.295622192762013
2.4,0,-124,-0.152557659441566
2.4,0,-123,-0.014018624825357
2.4,0,-122,0.120041603168048
2.4,0,-121,0.249665723908238
2.4,0,-120,0.374892785565022
2.4,0,-119,0.495758496068881
2.4,0,-118,0.61229550630837
2.4,0,-117,0.724533668062623
2.4,0,-116,0.832500268914198
2.4,0,-115,0.936220246164264
2.4,0,-114,1.03571638157627
2.4,0,-113,1.13100947860111
2.4,0,-112,1.22211852358275
2.4,0,-111,1.30906083230748
2.4,0,-110,1.39185218313716
2.4,0,-109,1.4705069378586
2.4,0,-108,1.54503815128259
2.4,0,-107,1.61545767053806
2.4,0,-106,1.68177622492656
2.4,0,-105,1.74400350712984
2.4,0,-104,1.80214824649686
2.4,0,-103,1.85621827507563
2.4,0,-102,1.90622058699965
2.4,0,-101,1.95216139178656
2.4,0,-100,1.99404616205879
2.4,0,-99,2.03187967615053
2.4,0,-98,2.06566605602316
2.4,0,-97,2.09540880087092
2.4,0,-96,2.12111081675991
2.4,0,-95,2.14277444260703
2.4,0,-94,2.16040147276884
2.4,0,-93,2.17399317647611
2.4,0,-92,2.18355031431461
2.4,0,-91,2.18907315191899
2.4,0,-90,2.19056147101211
2.4,0,-89,2.1880145778882
2.4,0,-88,2.18143130940316
2.4,0,-87,2.17081003650045
2.4,0,-86,2.1561486652649
2.4,0,-85,2.13744463546002
2.4,0,-84,2.11469491646649
2.4,0,-83,2.08789600050098
2.4,0,-82,2.0570438929537
2.4,0,-81,2.02213409964238
2.4,0,-80,1.98316161073691
2.4,0,-79,1.94012088106487
2.4,0,-78,1.89300580646221
2.4,0,-77,1.84180969578555
2.4,0,-76,1.78652523815346
2.4,0,-75,1.7271444649325
2.4,0,-74,1.66365870593062
2.4,0,-73,1.5960585392047
2.4,0,-72,1.52433373383117
2.4,0,-71,1.44847318492737
2.4,0,-70,1.36846484014767
2.4,0,-69,1.28429561681032
2.4,0,-68,1.19595130873953
2.4,0,-67,1.10341648183031
2.4,0,-66,1.0066743572617
2.4,0,-65,0.905706681194684
2.4,0,-64,0.800493579694519
2.4,0,-63,0.691013397511129
2.4,0,-62,0.577242519234096
2.4,0,-61,0.459155171208953
2.4,0,-60,0.336723202455883
2.4,0,-59,0.209915842668505
2.4,0,-58,0.0786994351851396
2.4,0,-57,-0.0569628573855276
2.4,0,-56,-0.197111377443632
2.4,0,-55,-0.341790329417661
2.4,0,-54,-0.491048172678987
2.4,0,-53,-0.644938053874733
2.4,0,-52,-0.803518282630683
2.4,0,-51,-0.966852855074392
2.4,0,-50,-1.13501203021055
2.4,0,-49,-1.30807296486216
2.4,0,-48,-1.48612041369013
2.4,0,-47,-1.66924750174485
2.4,0,-46,-1.85755657811255
2.4,0,-45,-2.05116016053166
2.4,0,-44,-2.25018198241058
2.4,0,-43,-2.45475815552892
2.4,0,-42,-2.66503846391325
2.4,0,-41,-2.8811878070206
2.4,0,-40,-3.10338781353869
2.4,0,-39,-3.33183865093786
2.4,0,-38,-3.5667610605427
2.4,0,-37,-3.80839865352096
2.4,0,-36,-4.05702051006133
2.4,0,-35,-4.31292413244506
2.4,0,-34,-4.57643881311539
2.4,0,-33,-4.8479294917432
2.4,0,-32,-5.127801191367
2.4,0,-31,-5.41650414386453
2.4,0,-30,-5.71453974050114
2.4,0,-29,-6.02246747572281
2.4,0,-28,-6.34091309391358
2.4,0,-27,-6.67057820251536
2.4,0,-26,-7.01225168484667
2.4,0,-25,-7.36682333791242
2.4,0,-24,-7.73530028259328
2.4,0,-23,-8.11882685742871
2.4,0,-22,-8.51870892953102
2.4,0,-21,-8.93644386159133
2.4,0,-20,-9.37375779913062
2.4,0,-19,-9.83265254268492
2.4,0,-18,-10.3154651312875
2.4,0,-17,-10.8249445215476
2.4,0,-16,-11.3643516184068
2.4,0,-15,-11.9375917582582
