"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2.4,0,-180,-49.2349879124909
2.4,0,-179,-35.5395599799715
2.4,0,-178,-29.2499938276973
2.4,0,-177,-25.6223144025627
2.4,0,-176,-23.067198251635
2.4,0,-175,-21.093549280588
2.4,0,-174,-19.4851074988501
2.4,0,-173,-18.1274277411943
2.4,0,-172,-16.9525918679195
2.4,0,-171,-15.9169858447463
2.4,0,-170,-14.9909364546509
2.4,0,-169,-14.1533421424187
2.4,0,-168,-13.3886628273002
2.4,0,-167,-12.6851250528849
2.4,0,-166,-12.0335974895536
2.4,0,-165,-11.4268571558209
2.4,0,-164,-10.8590939941732
2.4,0,-163,-10.3255665373398
2.4,0,-162,-9.82235653613821
2.4,0,-161,-9.34619026484449
2.4,0,-160,-8.89430587516964
2.4,0,-159,-8.4643532515253
2.4,0,-158,-8.05431725316352
2.4,0,-157,-7.66245807782039
2.4,0,-156,-7.28726435616543
2.4,0,-155,-6.92741584621001
2.4,0,-154,-6.5817534597855
2.4,0,-153,-6.24925495461041
2.4,0,-152,-5.92901505125648
2.4,0,-151,-5.62022904016171
2.4,0,-150,-5.32217916644916
2.4,0,-149,-5.03422324433746
2.4,0,-148,-4.75578507516531
2.4,0,-147,-4.48634633510642
2.4,0,-146,-4.22543966865789
2.4,0,-145,-3.97264277771114
2.4,0,-144,-3.72757333759954
2.4,0,-143,-3.48988460396296
2.4,0,-142,-3.2592615997749
2.4,0,-141,-3.03541779206983
2.4,0,-140,-2.81809218399986
2.4,0,-139,-2.60704676075459
2.4,0,-138,-2.40206423828777
2.4,0,-137,-2.20294607224008
2.4,0,-136,-2.00951069133394
2.4,0,-135,-1.82159192516208
2.4,0,-134,-1.63903760094009
2.4,0,-133,-1.46170828763984
2.4,0,-132,-1.28947616911615
2.4,0,-131,-1.12222403050492
2.4,0,-130,-0.959844344403991
2.4,0,-129,-0.802238445225032
2.4,0,-128,-0.649315781688056
2.4,0,-127,-0.500993238770943
2.4,0,-126,-0.35719452156451
2.4,0,-125,-0.217849594454014
2.4,0,-124,-0.0828941698761595
2.4,0,-123,0.0477307583880351
2.4,0,-122,0.174079341814277
2.4,0,-121,0.29620126753295
2.4,0,-120,0.414142115972115
2.4,0,-119,0.527943688799276
2.4,0,-118,0.637644309873334
2.4,0,-117,0.74327910161879
2.4,0,-116,0.844880238974188
2.4,0,-115,0.942477182837534
2.4,0,-114,1.03609689473097
2.4,0,-113,1.12576403423006
2.4,0,-112,1.21150114054662
2.4,0,-111,1.29332879951604
2.4,0,-110,1.37126579711674
2.4,0,-109,1.44532926054034
2.4,0,-108,1.51553478773301
2.4,0,-107,1.58189656624139
2.4,0,-106,1.64442748211734
2.4,0,-105,1.70313921956528
2.4,0,-104,1.75804235195171
2.4,0,-103,1.80914642473856
2.4,0,-102,1.85646003084908
2.4,0,-101,1.89999087892691
2.4,0,-100,1.93974585490478
2.4,0,-99,1.97573107725859
2.4,0,-98,2.00795194628522
2.4,0,-97,2.03641318770734
2.4,0,-96,2.06111889087597
2.4,0,-95,2.08207254181106
2.4,0,-94,2.09927705129106
2.4,0,-93,2.11273477817534
2.4,0,-92,2.1224475481163
2.4,0,-91,2.12841666779291
2.4,0,-90,2.13064293477205
2.4,0,-89,2.12912664307967
2.4,0,-88,2.12386758453955
2.4,0,-87,2.11486504591262
2.4,0,-86,2.10211780184601
2.4,0,-85,2.0856241036155
2.4,0,-84,2.06538166361994
2.4,0,-83,2.04138763556028
2.4,0,-82,2.01363859020826
2.4,0,-81,1.9821304866426
2.4,0,-80,1.94685863880047
2.4,0,-79,1.90781767716201
2.4,0,-78,1.8650015053529
2.4,0,-77,1.81840325141599
2.4,0,-76,1.76801521346713
2.4,0,-75,1.71382879941139
2.4,0,-74,1.65583446035507
2.4,0,-73,1.59402161730494
2.4,0,-72,1.52837858069857
2.4,0,-71,1.45889246225874
2.4,0,-70,1.38554907860967
2.4,0,-69,1.30833284603236
2.4,0,-68,1.22722666567096
2.4,0,-67,1.14221179842992
2.4,0,-66,1.05326772872243
2.4,0,-65,0.960372016143302
2.4,0,-64,0.863500134041846
2.4,0,-63,0.762625293862651
2.4,0,-62,0.657718254000666
2.4,0,-61,0.548747111781556
2.4,0,-60,0.435677077025257
2.4,0,-59,0.318470225477808
2.4,0,-58,0.19708523020084
2.4,0,-57,0.0714770687851446
2.4,0,-56,-0.0584032959992192
2.4,0,-55,-0.19260926479457
2.4,0,-54,-0.331198982500767
2.4,0,-53,-0.474235754769178
2.4,0,-52,-0.621788503983285
2.4,0,-51,-0.773932269075656
2.4,0,-50,-0.93074875412436
2.4,0,-49,-1.09232693136258
2.4,0,-48,-1.25876370503997
2.4,0,-47,-1.43016464351636
2.4,0,-46,-1.60664478807309
2.4,0,-45,-1.78832954822731
2.4,0,-44,-1.97535569486998
2.4,0,-43,-2.16787246436591
2.4,0,-42,-2.36604278891648
2.4,0,-41,-2.57004467106385
2.4,0,-40,-2.78007272330522
2.4,0,-39,-2.99633989749994
2.4,0,-38,-3.21907943323952
2.4,0,-37,-3.44854705979396
2.4,0,-36,-3.68502349288305
2.4,0,-35,-3.92881727565005
2.4,0,-34,-4.18026802322546
2.4,0,-33,-4.43975014266544
2.4,0,-32,-4.70767711549012
2.4,0,-31,-4.98450644940181
2.4,0,-30,-5.27074543018024
2.4,0,-29,-5.56695783577453
2.4,0,-28,-5.87377181431788
2.4,0,-27,-6.19188917901424
2.4,0,-26,-6.52209643948834
2.4,0,-25,-6.86527797667255
2.4,0,-24,-7.22243188426162
2.4,0,-23,-7.59468915506509
2.4,0,-22,-7.9833371009131
2.4,0,-21,-8.38984818307539
2.4,0,-20,-8.81591583054969
2.4,0,-19,-9.2634993876014
2.4,0,-18,-9.73488113889076
2.4,0,-17,-10.2327395348359
2.4,0,-16,-10.7602444810773
2.4,0,-15,-11.3211831917783
2.4,0,-14,-11.9201291898296
2.4,0,-13,-12.5626735283046
2.4,0,-12,-13.2557479320813
2.4,0,-11,-14.0080875348907
2.4,0,-10,-14.8309124839424
2.4,0,-9,-15.7389657360294
2.4,0,-8,-16.7521567323084
2.4,0,-7,-17.8982921238471
2.4,0,-6,-19.2178893545821
2.4,0,-5,-20.773327636822
2.4,0,-4,-22.6680756286666
2.4,0,-3,-25.0931600929633
2.4,0,-2,-28.4661303215753
2.4,0,-1,-34.0388082680763
2.4,0,0,-51.127913163966
2.4,0,1,-35.8006214638864
2.4,0,2,-29.3529541149275
2.4,0,3,-25.6842768211022
2.4,0,4,-23.1106579392016
2.4,0,5,-21.1264755450871
2.4,0,6,-19.5112011813442
2.4,0,7,-18.1486962308755
2.4,0,8,-16.9702396387661
2.4,0,9,-15.9317885391135
2.4,0,10,-15.0034202690046
2.4,0,11,-14.1638785765738
2.4,0,12,-13.3975225706011
2.4,0,13,-12.6925104793147
2.4,0,14,-12.0396632095712
2.4,0,15,-11.431723539121
2.4,0,16,-10.8628563694706
2.4,0,17,-10.328301632128
2.4,0,18,-9.82412709642564
2.4,0,19,-9.34704844026499
2.4,0,20,-8.89429574525125
2.4,0,21,-8.46351274087166
2.4,0,22,-8.05267960280985
2.4,0,23,-7.66005298811422
2.4,0,24,-7.28411888227221
2.4,0,25,-6.92355510428212
2.4,0,26,-6.57720118601808
2.4,0,27,-6.24403394838098
2.4,0,28,-5.92314752574123
2.4,0,29,-5.61373689822213
2.4,0,30,-5.31508421551408
2.4,0,31,-5.02654736101512
2.4,0,32,-4.74755032809739
2.4,0,33,-4.47757507290746
2.4,0,34,-4.21615457851745
2.4,0,35,-3.9628669192665
2.4,0,36,-3.7173301559364
2.4,0,37,-3.47919792501443
2.4,0,38,-3.24815561092528
2.4,0,39,-3.02391701039779
2.4,0,40,-2.80622141429465
2.4,0,41,-2.59483104519085
2.4,0,42,-2.38952879943804
2.4,0,43,-2.19011625092831
2.4,0,44,-1.99641188068262
2.4,0,45,-1.8082495020527
2.4,0,46,-1.6254768559896
2.4,0,47,-1.44795435468899
2.4,0,48,-1.27555395512887
2.4,0,49,-1.10815814668792
2.4,0,50,-0.945659039272181
2.4,0,51,-0.787957540259108
2.4,0,52,-0.634962610156166
2.4,0,53,-0.486590588214988
2.4,0,54,-0.3427645803838
2.4,0,55,-0.203413902953646
2.4,0,56,-0.0684735760854427
2.4,0,57,0.0621161378821319
2.4,0,58,0.188410155830877
2.4,0,59,0.310458958925652
2.4,0,60,0.428308944842205
2.4,0,61,0.54200275026446
2.4,0,62,0.651579546410354
2.4,0,63,0.757075310044412
2.4,0,64,0.858523072171615
2.4,0,65,0.955953146376176
2.4,0,66,1.04939333856527
2.4,0,67,1.13886913969823
2.4,0,68,1.22440390292257
2.4,0,69,1.30601900639712
2.4,0,70,1.38373400295639
2.4,0,71,1.45756675765798
2.4,0,72,1.52753357415371
2.4,0,73,1.59364931073454
2.4,0,74,1.65592748681716
2.4,0,75,1.71438038056607
2.4,0,76,1.76901911827743
2.4,0,77,1.81985375608965
2.4,0,78,1.86689335452928
