"Freq [GHz]","dB(S(1,1)) []"
1.8,-1.83800003723766
1.803,-1.86882684109066
1.806,-1.90023422208177
1.809,-1.93223403991524
1.812,-1.96483840258964
1.815,-1.99805967130033
1.818,-2.03191046542322
1.821,-2.06640366758085
1.824,-2.1015524287922
1.827,-2.13737017370748
1.83,-2.1738706059291
1.833,-2.21106771342055
1.836,-2.24897577400438
1.839,-2.28760936095121
1.842,-2.32698334866108
1.845,-2.36711291843921
1.848,-2.40801356436785
1.851,-2.44970109927621
1.854,-2.49219166081055
1.857,-2.53550171760645
1.86,-2.57964807556566
1.863,-2.62464788423964
1.866,-2.67051864332243
1.869,-2.71727820925501
1.872,-2.76494480194403
1.875,-2.81353701159717
1.878,-2.86307380567802
1.881,-2.9135745359828
1.884,-2.96505894584178
1.887,-3.01754717744761
1.89,-3.07105977931323
1.893,-3.12561771386132
1.896,-3.18124236514738
1.899,-3.23795554671795
1.902,-3.29577950960541
1.905,-3.35473695045962
1.908,-3.41485101981679
1.911,-3.47614533050435
1.914,-3.53864396618027
1.917,-3.60237149000339
1.92,-3.66735295343042
1.923,-3.73361390513299
1.926,-3.80118040002645
1.929,-3.87007900839924
1.932,-3.94033682512898
1.935,-4.01198147896774
1.938,-4.08504114187522
1.941,-4.15954453837321
1.944,-4.23552095488998
1.947,-4.31300024905595
1.95,-4.39201285890535
1.953,-4.47258981192895
1.956,-4.55476273391393
1.959,-4.6385638574944
1.962,-4.72402603032313
1.965,-4.8111827227596
1.968,-4.90006803495121
1.971,-4.99071670316412
1.974,-5.08316410519647
1.977,-5.17744626467921
1.98,-5.27359985403835
1.983,-5.37166219585632
1.986,-5.47167126232831
1.989,-5.57366567246174
1.992,-5.67768468661188
1.995,-5.78376819788326
1.998,-5.89195671985408
2.001,-6.00229136999699
2.004,-6.11481384807365
2.007,-6.22956640867031
2.01,-6.3465918269146
2.013,-6.4659333562685
2.016,-6.58763467712471
2.019,-6.711739834742
2.022,-6.83829316483421
2.025,-6.96733920487459
2.028,-7.0989225888864
2.031,-7.23308792315786
2.034,-7.36987963993701
2.037,-7.50934182572535
2.04,-7.6515180202882
2.043,-7.79645098192796
2.046,-7.94418241391422
2.049,-8.09475264622142
2.052,-8.24820026588096
2.055,-8.40456168829787
2.058,-8.56387066080283
2.061,-8.72615768849636
2.064,-8.89144937108485
2.067,-9.05976763789947
2.07,-9.23112886662826
2.073,-9.40554286947848
2.076,-9.58301172853711
2.079,-9.76352846003493
2.082,-9.94707548509316
2.085,-10.1336228824089
2.088,-10.3231263963299
2.091,-10.5155251720317
2.094,-10.7107391882665
2.097,-10.9086663576991
2.1,-11.1091792655936
2.103,-11.3121215200919
2.106,-11.517303692233
2.109,-11.7244988320544
2.112,-11.9334375596914
2.115,-12.1438027486012
2.118,-12.3552238433794
2.121,-12.5672708887012
2.124,-12.7794483903107
2.127,-12.991189185106
2.13,-13.2018485660432
2.133,-13.4106989885926
2.136,-13.6169257768394
2.139,-13.8196243444832
2.142,-14.0177995408817
2.145,-14.210367812493
2.148,-14.3961629183521
2.151,-14.5739459328239
2.154,-14.7424201852372
2.157,-14.9002516001732
2.16,-15.0460945964655
2.163,-15.1786232732177
2.166,-15.2965670747136
2.169,-15.3987495279015
2.172,-15.4841280600752
2.175,-15.5518324267535
2.178,-15.6011990136622
2.181,-15.6317983087048
2.184,-15.6434532144676
2.187,-15.6362465723586
2.19,-15.6105172124319
2.193,-15.5668448912536
2.196,-15.5060254725771
2.199,-15.4290384937814
2.202,-15.337009742479
2.205,-15.2311716045265
2.208,-15.1128237638776
2.211,-14.9832964123599
2.214,-14.8439175642175
2.217,-14.6959854666592
2.22,-14.5407465357049
2.223,-14.3793787804875
2.226,-14.2129803342919
2.229,-14.0425624887582
2.232,-13.8690465145252
2.235,-13.693263524455
2.238,-13.5159566696129
2.241,-13.3377850304917
2.244,-13.1593286578355
2.247,-12.9810943149239
2.25,-12.803521566989
2.253,-12.626988947997
2.256,-12.4518200076462
2.259,-12.2782891014282
2.262,-12.1066268345291
2.265,-11.9370251074655
2.268,-11.7696417392455
2.271,-11.6046046641201
2.274,-11.4420157121739
2.277,-11.2819539934492
2.28,-11.1244789111243
2.283,-10.9696328324254
2.286,-10.8174434471781
2.289,-10.6679258437746
2.292,-10.5210843313061
2.295,-10.3769140349946
2.298,-10.2354022901238
2.301,-10.0965298575663
2.304,-9.96027198187417
2.307,-9.82659931080905
2.31,-9.69547869320562
2.313,-9.5668738702012
2.316,-9.44074607315923
2.319,-9.31705454005773
2.322,-9.19575696071145
2.325,-9.07680985993913
2.328,-8.96016892666798
2.331,-8.84578929597395
2.334,-8.73362579017915
2.337,-8.62363312435482
2.34,-8.51576608089866
2.343,-8.4099796572604
2.346,-8.30622919036675
2.349,-8.20447046084195
2.352,-8.10465977972065
2.355,-8.00675406000291
2.358,-7.91071087509708
2.361,-7.81648850593234
2.364,-7.72404597829165
2.367,-7.63334309171553
2.37,-7.54434044115142
2.373,-7.45699943237154
2.376,-7.3712822920487
2.379,-7.28715207326434
2.382,-7.20457265712179
2.385,-7.12350875105013
2.388,-7.04392588430723
2.391,-6.9657904011241
2.394,-6.88906945187416
2.397,-6.81373098260045
2.4,-6.73974372318961
2.403,-6.66707717444274
2.406,-6.59570159425974
2.409,-6.52558798312417
2.412,-6.45670806905044
2.415,-6.38903429213221
2.418,-6.32253978881221
2.421,-6.25719837597569
2.424,-6.19298453495605
2.427,-6.12987339552721
2.43,-6.06784071994677
2.433,-6.00686288710389
2.436,-5.94691687681726
2.439,-5.88798025432127
