"Freq [GHz]","St(1,1) []"
1.8,0.588604775445242 - 0.555411673716711i
1.803,0.58426394442391 - 0.555824591691259i
1.806,0.579885541628172 - 0.556194361173247i
1.809,0.575469775253061 - 0.556519861886997i
1.812,0.571016880480162 - 0.556799959463842i
1.815,0.566527120405464 - 0.557033505867627i
1.818,0.562000786976387 - 0.5572193398604i
1.821,0.557438201936728 - 0.557356287509805i
1.824,0.552839717778166 - 0.557443162739675i
1.827,0.548205718696849 - 0.557478767925282i
1.83,0.543536621553504 - 0.557461894534728i
1.833,0.538832876835338 - 0.557391323817901i
1.836,0.534094969617949 - 0.557265827544412i
1.839,0.529323420525276 - 0.557084168791878i
1.842,0.524518786685549 - 0.556845102785882i
1.845,0.51968166268104 - 0.556547377792889i
1.848,0.51481268148929 - 0.556189736067317i
1.851,0.509912515413377 - 0.555770914853918i
1.854,0.504981876998637 - 0.555289647446528i
1.857,0.500021519933142 - 0.554744664304158i
1.86,0.495032239929079 - 0.554134694225306i
1.863,0.490014875582075 - 0.553458465581245i
1.866,0.484970309205363 - 0.552714707608947i
1.869,0.479899467635575 - 0.551902151764142i
1.872,0.474803323006806 - 0.551019533134884i
1.875,0.469682893489493 - 0.550065591915842i
1.878,0.464539243990524 - 0.549039074943358i
1.881,0.459373486810899 - 0.547938737291151i
1.884,0.454186782257142 - 0.546763343926322i
1.887,0.448980339202588 - 0.545511671425162i
1.89,0.443755415594577 - 0.544182509747995i
1.893,0.4385133189035 - 0.542774664072106i
1.896,0.433255406509604 - 0.541286956681534i
1.899,0.427983086023382 - 0.53971822891228i
1.902,0.42269781553534 - 0.5380673431512i
1.905,0.417401103790929 - 0.536333184886597i
1.908,0.412094510286403 - 0.534514664808233i
1.911,0.40677964528136 - 0.532610720954206i
1.914,0.401458169723782 - 0.530620320901803i
1.917,0.396131795083402 - 0.528542463999175i
1.92,0.39080228308931 - 0.526376183634349i
1.923,0.385471445367804 - 0.52412054953775i
1.926,0.380141142976563 - 0.521774670114129i
1.929,0.374813285831404 - 0.519337694799428i
1.932,0.369489832022012 - 0.516808816437815i
1.935,0.364172787013208 - 0.514187273673776i
1.938,0.358864202728561 - 0.511472353353846i
1.941,0.353566176513344 - 0.508663392932235i
1.944,0.34828084997414 - 0.505759782874304i
1.947,0.343010407692661 - 0.502760969051528i
1.95,0.337757075811665 - 0.499666455121312i
1.953,0.332523120491223 - 0.496475804884742i
1.956,0.327310846233933 - 0.493188644615095i
1.959,0.322122594078088 - 0.489804665349681i
1.962,0.316960739658237 - 0.486323625137394i
1.965,0.311827691133 - 0.482745351234121i
1.968,0.30672588698052 - 0.479069742238016i
1.971,0.301657793662373 - 0.475296770156482i
1.974,0.296625903157322 - 0.471426482396616i
1.977,0.291632730366805 - 0.46745900367077i
1.98,0.286680810394627 - 0.463394537808853i
1.983,0.281772695703861 - 0.459233369469004i
1.986,0.27691095315458 - 0.454975865738279i
1.989,0.272098160926596 - 0.4506224776151i
1.992,0.267336905332001 - 0.446173741365301i
1.995,0.262629777522887 - 0.441630279743817i
1.998,0.257979370100228 - 0.436992803074226i
2.001,0.25338827363049 - 0.432262110178654i
2.004,0.248859073077133 - 0.427439089150819i
2.007,0.244394344154709 - 0.422524717965387i
2.01,0.239996649613866 - 0.417520064917172i
2.013,0.235668535466041 - 0.412426288884182i
2.016,0.231412527157184 - 0.407244639409004i
2.019,0.227231125700314 - 0.401976456593552i
2.022,0.223126803777155 - 0.396623170802788i
2.025,0.21910200181951 - 0.391186302173639i
2.028,0.215159124081421 - 0.385667459926007i
2.031,0.211300534713457 - 0.380068341473457i
2.034,0.207528553850772 - 0.374390731331878i
2.037,0.203845453726802 - 0.368636499825212i
2.04,0.200253454824617 - 0.362807601588079i
2.043,0.196754722078097 - 0.35690607386596i
2.046,0.193351361135119 - 0.350934034614405i
2.049,0.190045414694967 - 0.344893680399566i
2.052,0.186838858932081 - 0.338787284103189i
2.055,0.183733600018158 - 0.332617192436028i
2.058,0.180731470754396 - 0.3263858232645i
