"dL []","Freq [GHz]","dB(S(1,1)) []"
0.0567,1.8,-0.789248776348671
0.0567,1.803,-0.800146493883545
0.0567,1.806,-0.811211648477526
0.0567,1.809,-0.822447106631338
0.0567,1.812,-0.83385578835908
0.0567,1.815,-0.845440668228694
0.0567,1.818,-0.857204776422014
0.0567,1.821,-0.869151199814706
0.0567,1.824,-0.881283083076385
0.0567,1.827,-0.893603629791238
0.0567,1.83,-0.906116103599442
0.0567,1.833,-0.918823829359711
0.0567,1.836,-0.931730194333243
0.0567,1.839,-0.944838649389423
0.0567,1.842,-0.958152710233583
0.0567,1.845,-0.971675958657073
0.0567,1.848,-0.985412043810079
0.0567,1.851,-0.999364683497361
0.0567,1.854,-1.01353766549733
0.0567,1.857,-1.02793484890475
0.0567,1.86,-1.04256016549729
0.0567,1.863,-1.05741762112644
0.0567,1.866,-1.07251129713285
0.0567,1.869,-1.08784535178663
0.0567,1.872,-1.10342402175274
0.0567,1.875,-1.11925162358197
0.0567,1.878,-1.13533255522755
0.0567,1.881,-1.15167129758804
0.0567,1.884,-1.16827241607646
0.0567,1.887,-1.18514056221621
0.0567,1.89,-1.20228047526399
0.0567,1.893,-1.21969698385999
0.0567,1.896,-1.23739500770572
0.0567,1.899,-1.25537955926965
0.0567,1.902,-1.27365574552122
0.0567,1.905,-1.29222876969308
0.0567,1.908,-1.31110393307233
0.0567,1.911,-1.33028663682067
0.0567,1.914,-1.34978238382395
0.0567,1.917,-1.36959678057129
0.0567,1.92,-1.38973553906418
0.0567,1.923,-1.41020447875567
0.0567,1.926,-1.43100952852006
0.0567,1.929,-1.45215672865333
0.0567,1.932,-1.47365223290452
0.0567,1.935,-1.4955023105384
0.0567,1.938,-1.51771334842974
0.0567,1.941,-1.54029185318928
0.0567,1.944,-1.56324445332189
0.0567,1.947,-1.58657790141701
0.0567,1.95,-1.61029907637177
0.0567,1.953,-1.63441498564694
0.0567,1.956,-1.65893276755616
0.0567,1.959,-1.68385969358847
0.0567,1.962,-1.70920317076478
0.0567,1.965,-1.73497074402815
0.0567,1.968,-1.76117009866855
0.0567,1.971,-1.78780906278219
0.0567,1.974,-1.81489560976571
0.0567,1.977,-1.84243786084575
0.0567,1.98,-1.87044408764397
0.0567,1.983,-1.89892271477807
0.0567,1.986,-1.92788232249903
0.0567,1.989,-1.95733164936498
0.0567,1.992,-1.98727959495219
0.0567,1.995,-2.01773522260332
0.0567,1.998,-2.04870776221369
0.0567,2.001,-2.0802066130557
0.0567,2.004,-2.11224134664206
0.0567,2.007,-2.14482170962833
0.0567,2.01,-2.1779576267551
0.0567,2.013,-2.21165920383057
0.0567,2.016,-2.245936730754
0.0567,2.019,-2.28080068458058
0.0567,2.022,-2.31626173262851
0.0567,2.025,-2.35233073562882
0.0567,2.028,-2.3890187509187
0.0567,2.031,-2.42633703567906
0.0567,2.034,-2.46429705021709
0.0567,2.037,-2.50291046129459
0.0567,2.04,-2.54218914550305
0.0567,2.043,-2.58214519268611
0.0567,2.046,-2.62279090941056
0.0567,2.049,-2.66413882248651
0.0567,2.052,-2.70620168253807
0.0567,2.055,-2.74899246762505
0.0567,2.058,-2.79252438691697
0.0567,2.061,-2.83681088442027
0.0567,2.064,-2.8818656427596
0.0567,2.067,-2.92770258701423
0.0567,2.07,-2.97433588861036
0.0567,2.073,-3.02177996927035
0.0567,2.076,-3.07004950501942
0.0567,2.079,-3.11915943025064
0.0567,2.082,-3.16912494184873
0.0567,2.085,-3.21996150337285
0.0567,2.088,-3.27168484929893
0.0567,2.091,-3.32431098932097
0.0567,2.094,-3.37785621271139
0.0567,2.097,-3.43233709273933
0.0567,2.1,-3.48777049114597
0.0567,2.103,-3.54417356267513
0.0567,2.106,-3.6015637596568
0.0567,2.109,-3.65995883664081
0.0567,2.112,-3.71937685507673
0.0567,2.115,-3.77983618803543
0.0567,2.118,-3.84135552496647
0.0567,2.121,-3.90395387648417
0.0567,2.124,-3.96765057917411
0.0567,2.127,-4.03246530040975
0.0567,2.13,-4.09841804316716
0.0567,2.133,-4.16552915082368
0.0567,2.136,-4.23381931192376
0.0567,2.139,-4.30330956489246
0.0567,2.142,-4.37402130267372
0.0567,2.145,-4.44597627726701
0.0567,2.148,-4.51919660413161
0.0567,2.151,-4.59370476642302
0.0567,2.154,-4.66952361902062
0.0567,2.157,-4.74667639229948
0.0567,2.16,-4.82518669559233
0.0567,2.163,-4.90507852027966
0.0567,2.166,-4.98637624243701
0.0567,2.169,-5.06910462495829
0.0567,2.172,-5.15328881906267
0.0567,2.175,-5.23895436507915
0.0567,2.178,-5.32612719238866
0.0567,2.181,-5.41483361838642
0.0567,2.184,-5.50510034630886
0.0567,2.187,-5.59695446174758
0.0567,2.19,-5.69042342764928
0.0567,2.193,-5.78553507757282
0.0567,2.196,-5.88231760694405
0.0567,2.199,-5.98079956201396
0.0567,2.202,-6.08100982618675
0.0567,2.205,-6.1829776033392
0.0567,2.208,-6.2867323977031
0.0567,2.211,-6.39230398982507
0.0567,2.214,-6.49972240805427
0.0567,2.217,-6.60901789493546
0.0567,2.22,-6.72022086780325
0.0567,2.223,-6.83336187278035
0.0567,2.226,-6.94847153127841
0.0567,2.229,-7.06558047798166
0.0567,2.232,-7.18471928916048
0.0567,2.235,-7.30591840001215
0.0567,2.238,-7.4292080095564
0.0567,2.241,-7.55461797142328
0.0567,2.244,-7.68217766865663
0.0567,2.247,-7.81191587041584
0.0567,2.25,-7.94386056818883
0.0567,2.253,-8.07803878882737
0.0567,2.256,-8.21447638137793
0.0567,2.259,-8.35319777430599
0.0567,2.262,-8.49422569929326
0.0567,2.265,-8.63758087732559
0.0567,2.268,-8.78328166227889
0.0567,2.271,-8.93134363665258
0.0567,2.274,-9.08177915349076
0.0567,2.277,-9.23459681787427
0.0567,2.28,-9.38980090066321
0.0567,2.283,-9.54739067642622
0.0567,2.286,-9.70735967672128
0.0567,2.289,-9.86969484910792
0.0567,2.292,-10.0343756114976
0.0567,2.295,-10.201372790722
0.0567,2.298,-10.3706474335634
0.0567,2.301,-10.5421494780132
0.0567,2.304,-10.7158162722843
0.0567,2.307,-10.891570929212
0.0567,2.31,-11.0693205042763
0.0567,2.313,-11.2489539867399
0.0567,2.316,-11.4303400955426
0.0567,2.319,-11.6133248748885
0.0567,2.322,-11.797729089232
0.0567,2.325,-11.9833454239732
0.0567,2.328,-12.1699355070475
0.0567,2.331,-12.3572267781843
0.0567,2.334,-12.5449092473822
0.0567,2.337,-12.732632202549
0.0567,2.34,-12.9200009486171
0.0567,2.343,-13.1065736869141
0.0567,2.346,-13.2918586740012
0.0567,2.349,-13.4753118329155
0.0567,2.352,-13.6563350254826
0.0567,2.355,-13.834275229887
0.0567,2.358,-14.0084248997437
0.0567,2.361,-14.1780238050088
0.0567,2.364,-14.3422626655004
0.0567,2.367,-14.5002888778586
0.0567,2.37,-14.651214599256
0.0567,2.373,-14.7941273793418
0.0567,2.376,-14.9281034207971
0.0567,2.379,-15.0522233970275
0.0567,2.382,-15.1655905667367
0.0567,2.385,-15.2673507100426
0.0567,2.388,-15.3567131875721
0.0567,2.391,-15.4329722176284
0.0567,2.394,-15.4955273064508
0.0567,2.397,-15.5439016822595
0.0567,2.4,-15.5777575991336
0.0567,2.403,-15.5969075044359
0.0567,2.406,-15.6013203003607
0.0567,2.409,-15.5911222557927
0.0567,2.412,-15.5665925033621
0.0567,2.415,-15.5281534431686
0.0567,2.418,-15.4763567225189
0.0567,2.421,-15.4118657305411
0.0567,2.424,-15.3354357117743
0.0567,2.427,-15.2478926548912
0.0567,2.43,-15.150112059368
0.0567,2.433,-15.0429985449469
0.0567,2.436,-14.9274670744266
0.0567,2.439,-14.8044263396513
0.0567,2.442,-14.6747646403896
0.0567,2.445,-14.5393383867059
0.0567,2.448,-14.3989631905407
0.0567,2.451,-14.254407387486
0.0567,2.454,-14.1063877452433
0.0567,2.457,-13.9555670670057
0.0567,2.46,-13.8025533796796
0.0567,2.463,-13.6479004012902
0.0567,2.466,-13.4921090021566
0.0567,2.469,-13.335629404381
0.0567,2.472,-13.1788638989923
0.0567,2.475,-13.0221698960305
0.0567,2.478,-12.8658631574439
0.0567,2.481,-12.7102210942943
0.0567,2.484,-12.5554860375959
0.0567,2.487,-12.4018684158406
0.0567,2.49,-12.2495497919512
0.0567,2.493,-12.098685728339
0.0567,2.496,-11.9494084613452
0.0567,2.499,-11.8018293760681
0.0567,2.502,-11.6560412798947
0.0567,2.505,-11.5121204783882
0.0567,2.508,-11.3701286609372
0.0567,2.511,-11.2301146060649
0.0567,2.514,-11.0921157178296
0.0567,2.517,-10.9561594055472
0.0567,2.52,-10.8222643193157
0.0567,2.523,-10.6904414536934
0.0567,2.526,-10.5606951314657
0.0567,2.529,-10.4330238788496
0.0567,2.532,-10.3074212027822
0.0567,2.535,-10.1838762801758
0.0567,2.538,-10.0623745682419
0.0567,2.541,-9.9428983442057
0.0567,2.544,-9.82542718198155
0.0567,2.547,-9.70993837266039
0.0567,2.55,-9.59640729498929
0.0567,2.553,-9.48480774139737
0.0567,2.556,-9.37511220454793
0.0567,2.559,-9.267292128871
0.0567,2.562,-9.16131813105321
0.0567,2.565,-9.05716019302944
0.0567,2.568,-8.95478783063206
0.0567,2.571,-8.85417024070301
0.0567,2.574,-8.75527642916197
0.0567,2.577,-8.65807532224251
0.0567,2.58,-8.56253586285946
0.0567,2.583,-8.46862709384757
0.0567,2.586,-8.37631822961382
0.0567,2.589,-8.28557871756973
0.0567,2.592,-8.19637829055413
0.0567,2.595,-8.10868701131748
0.0567,2.598,-8.02247531001709
0.0567,2.601,-7.93771401556249
0.0567,2.604,-7.85437438155448
0.0567,2.607,-7.77242810747553
0.0567,2.61,-7.69184735571349
0.0567,2.613,-7.61260476493364
0.0567,2.616,-7.53467346025458
0.0567,2.619,-7.45802706063089
0.0567,2.622,-7.38263968379911
0.0567,2.625,-7.30848594910205
0.0567,2.628,-7.23554097847018
0.0567,2.631,-7.16378039580637
0.0567,2.634,-7.09318032499161
0.0567,2.637,-7.02371738670409
0.0567,2.64,-6.95536869422129
0.0567,2.643,-6.88811184835507
0.0567,2.646,-6.82192493165194
0.0567,2.649,-6.756786501975
0.0567,2.652,-6.6926755855704
0.0567,2.655,-6.62957166970863
0.0567,2.658,-6.56745469498011
0.0567,2.661,-6.50630504731509
0.0567,2.664,-6.44610354978898
0.0567,2.667,-6.38683145426692
0.0567,2.67,-6.32847043293457
0.0567,2.673,-6.27100256975597
0.0567,2.676,-6.21441035189454
0.0567,2.679,-6.15867666112784
0.0567,2.682,-6.10378476528337
0.0567,2.685,-6.04971830971837
0.0567,2.688,-5.9964613088638
0.0567,2.691,-5.94399813784952
0.0567,2.694,-5.89231352422514
0.0567,2.697,-5.84139253978908
0.0567,2.7,-5.79122059253596
0.0567,2.703,-5.74178341873108
0.0567,2.706,-5.69306707511882
0.0567,2.709,-5.64505793127089
0.0567,2.712,-5.59774266207871
0.0567,2.715,-5.5511082403934
0.0567,2.718,-5.50514192981607
0.0567,2.721,-5.45983127763971
0.0567,2.724,-5.41516410794419
0.0567,2.727,-5.37112851484436
0.0567,2.73,-5.32771285589129
0.0567,2.733,-5.28490574562603
0.0567,2.736,-5.24269604928476
0.0567,2.739,-5.20107287665425
0.0567,2.742,-5.16002557607564
0.0567,2.745,-5.11954372859499
0.0567,2.748,-5.07961714225822
0.0567,2.751,-5.04023584654836
0.0567,2.754,-5.00139008696266
0.0567,2.757,-4.96307031972691
0.0567,2.76,-4.9252672066445
0.0567,2.763,-4.88797161007739
0.0567,2.766,-4.85117458805638
0.0567,2.769,-4.81486738951767
0.0567,2.772,-4.77904144966316
0.0567,2.775,-4.7436883854414
0.0567,2.778,-4.70879999114661
0.0567,2.781,-4.67436823413269
0.0567,2.784,-4.64038525063964
0.0567,2.787,-4.60684334172947
0.0567,2.79,-4.57373496932889
0.0567,2.793,-4.54105275237606
0.0567,2.796,-4.50878946306874
0.0567,2.799,-4.47693802321109
0.0567,2.802,-4.4454915006567
0.0567,2.805,-4.41444310584519
0.0567,2.808,-4.38378618842985
0.0567,2.811,-4.35351423399396
0.0567,2.814,-4.32362086085338
0.0567,2.817,-4.294099816943
0.0567,2.82,-4.2649449767848
0.0567,2.823,-4.23615033853534
0.0567,2.826,-4.20771002111037
0.0567,2.829,-4.17961826138456
0.0567,2.832,-4.15186941146422
0.0567,2.835,-4.12445793603091
0.0567,2.838,-4.09737840975414
0.0567,2.841,-4.0706255147711
0.0567,2.844,-4.04419403823159
0.0567,2.847,-4.01807886990637
0.0567,2.85,-3.99227499985707
0.0567,2.853,-3.96677751616611
0.0567,2.856,-3.94158160272476
0.0567,2.859,-3.91668253707784
0.0567,2.862,-3.89207568832342
0.0567,2.865,-3.86775651506606
0.0567,2.868,-3.84372056342203
0.0567,2.871,-3.81996346507505
0.0567,2.874,-3.79648093538116
0.0567,2.877,-3.77326877152145
0.0567,2.88,-3.75032285070119
0.0567,2.883,-3.72763912839402
0.0567,2.886,-3.70521363663023
0.0567,2.889,-3.68304248232757
0.0567,2.892,-3.66112184566362
0.0567,2.895,-3.63944797848854
0.0567,2.898,-3.61801720277705
0.0567,2.901,-3.59682590911852
0.0567,2.904,-3.57587055524425
0.0567,2.907,-3.55514766459085
0.0567,2.91,-3.5346538248986
0.0567,2.913,-3.51438568684412
0.0567,2.916,-3.49433996270616
0.0567,2.919,-3.47451342506364
0.0567,2.922,-3.45490290552527
0.0567,2.925,-3.43550529348959
0.0567,2.928,-3.41631753493485
0.0567,2.931,-3.39733663123775
0.0567,2.934,-3.37855963802042
0.0567,2.937,-3.35998366402473
0.0567,2.94,-3.34160587001324
0.0567,2.943,-3.32342346769619
0.0567,2.946,-3.30543371868363
0.0567,2.949,-3.28763393346217
0.0567,2.952,-3.27002147039564
0.0567,2.955,-3.252593734749
0.0567,2.958,-3.23534817773497
0.0567,2.961,-3.21828229558261
0.0567,2.964,-3.20139362862749
0.0567,2.967,-3.18467976042265
0.0567,2.97,-3.16813831687002
0.0567,2.973,-3.15176696537154
0.0567,2.976,-3.13556341399964
0.0567,2.979,-3.11952541068655
0.0567,2.982,-3.10365074243177
0.0567,2.985,-3.08793723452749
0.0567,2.988,-3.07238274980128
0.0567,2.991,-3.05698518787576
0.0567,2.994,-3.04174248444456
0.0567,2.997,-3.02665261056458
0.0567,3,-3.0117135719636
0.056825,1.8,-0.801895016197407
0.056825,1.803,-0.813006653958966
0.056825,1.806,-0.824289686848576
0.056825,1.809,-0.835747061117565
0.056825,1.812,-0.847381778186264
0.056825,1.815,-0.859196895717864
0.056825,1.818,-0.871195528712408
0.056825,1.821,-0.883380850621247
0.056825,1.824,-0.895756094482272
0.056825,1.827,-0.908324554076228
0.056825,1.83,-0.921089585104408
0.056825,1.833,-0.934054606388063
0.056825,1.836,-0.947223101089827
0.056825,1.839,-0.960598617957492
0.056825,1.842,-0.974184772590396
0.056825,1.845,-0.987985248728821
0.056825,1.848,-1.00200379956662
0.056825,1.851,-1.01624424908749
0.056825,1.854,-1.03071049342508
0.056825,1.857,-1.04540650224741
0.056825,1.86,-1.06033632016577
0.056825,1.863,-1.07550406816841
0.056825,1.866,-1.09091394507957
0.056825,1.869,-1.10657022904373
0.056825,1.872,-1.12247727903584
0.056825,1.875,-1.13863953639755
0.056825,1.878,-1.15506152639982
0.056825,1.881,-1.17174785983224
0.056825,1.884,-1.18870323461932
0.056825,1.887,-1.20593243746413
0.056825,1.89,-1.22344034551946
0.056825,1.893,-1.24123192808689
0.056825,1.896,-1.25931224834405
0.056825,1.899,-1.27768646510031
0.056825,1.902,-1.29635983458125
0.056825,1.905,-1.31533771224214
0.056825,1.908,-1.33462555461072
0.056825,1.911,-1.35422892115965
0.056825,1.914,-1.3741534762087
0.056825,1.917,-1.39440499085719
0.056825,1.92,-1.41498934494677
0.056825,1.923,-1.4359125290549
0.056825,1.926,-1.45718064651929
0.056825,1.929,-1.47879991549349
0.056825,1.932,-1.50077667103399
0.056825,1.935,-1.52311736721904
0.056825,1.938,-1.54582857929939
0.056825,1.941,-1.56891700588138
0.056825,1.944,-1.59238947114243
0.056825,1.947,-1.61625292707931
0.056825,1.95,-1.64051445578944
0.056825,1.953,-1.66518127178545
0.056825,1.956,-1.69026072434326
0.056825,1.959,-1.71576029988398
0.056825,1.962,-1.74168762438985
0.056825,1.965,-1.76805046585454
0.056825,1.968,-1.79485673676807
0.056825,1.971,-1.82211449663661
0.056825,1.974,-1.84983195453747
0.056825,1.977,-1.87801747170966
0.056825,1.98,-1.90667956418018
0.056825,1.983,-1.9358269054265
0.056825,1.986,-1.96546832907546
0.056825,1.989,-1.99561283163909
0.056825,1.992,-2.02626957528753
0.056825,1.995,-2.05744789065963
0.056825,1.998,-2.08915727971142
0.056825,2.001,-2.12140741860314
0.056825,2.004,-2.154208160625
0.056825,2.007,-2.18756953916236
0.056825,2.01,-2.22150177070072
0.056825,2.013,-2.25601525787104
0.056825,2.016,-2.29112059253599
0.056825,2.019,-2.3268285589177
0.056825,2.022,-2.36315013676754
0.056825,2.025,-2.40009650457864
0.056825,2.028,-2.43767904284185
0.056825,2.031,-2.47590933734574
0.056825,2.034,-2.51479918252136
0.056825,2.037,-2.55436058483261
0.056825,2.04,-2.59460576621292
0.056825,2.043,-2.63554716754899
0.056825,2.046,-2.67719745221247
0.056825,2.049,-2.71956950964039
0.056825,2.052,-2.76267645896508
0.056825,2.055,-2.80653165269451
0.056825,2.058,-2.85114868044377
0.056825,2.061,-2.89654137271844
0.056825,2.064,-2.94272380475072
0.056825,2.067,-2.98971030038878
0.056825,2.07,-3.03751543604018
0.056825,2.073,-3.08615404466952
0.056825,2.076,-3.13564121985105
0.056825,2.079,-3.18599231987612
0.056825,2.082,-3.23722297191562
0.056825,2.085,-3.28934907623711
0.056825,2.088,-3.34238681047616
0.056825,2.091,-3.3963526339608
0.056825,2.094,-3.45126329208811
0.056825,2.097,-3.5071358207507
0.056825,2.1,-3.56398755081113
0.056825,2.103,-3.62183611262086
0.056825,2.106,-3.68069944058014
0.056825,2.109,-3.74059577773386
0.056825,2.112,-3.80154368039772
0.056825,2.115,-3.86356202280767
0.056825,2.118,-3.92667000178401
0.056825,2.121,-3.99088714140043
0.056825,2.124,-4.05623329764573
0.056825,2.127,-4.12272866306463
0.056825,2.13,-4.19039377136092
0.056825,2.133,-4.25924950194399
0.056825,2.136,-4.32931708439638
0.056825,2.139,-4.40061810283665
0.056825,2.142,-4.47317450014726
0.056825,2.145,-4.54700858203347
0.056825,2.148,-4.62214302087297
0.056825,2.151,-4.69860085931097
0.056825,2.154,-4.77640551354802
0.056825,2.157,-4.85558077626055
0.056825,2.16,-4.93615081908552
0.056825,2.163,-5.01814019459058
0.056825,2.166,-5.10157383764012
0.056825,2.169,-5.18647706605526
0.056825,2.172,-5.27287558045123
0.056825,2.175,-5.36079546312024
0.056825,2.178,-5.45026317580895
0.056825,2.181,-5.54130555621998
0.056825,2.184,-5.63394981304329
0.056825,2.187,-5.72822351929715
0.056825,2.19,-5.82415460372912
0.056825,2.193,-5.92177133999361
0.056825,2.196,-6.02110233328542
0.056825,2.199,-6.12217650406535
0.056825,2.202,-6.22502306846661
0.056825,2.205,-6.32967151491555
0.056825,2.208,-6.43615157643933
0.056825,2.211,-6.54449319806354
0.056825,2.214,-6.65472649862464
0.056825,2.217,-6.76688172623332
0.056825,2.22,-6.88098920652531
