"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
1.8,36.1149207117944,-116.261029272481
1.803,36.2921376261809,-115.36957528443
1.806,36.4702904780214,-114.479011646683
1.809,36.6493840432239,-113.58932869638
1.812,36.8294231299257,-112.700516824825
1.815,37.0104125786853,-111.812566477122
1.818,37.1923572626776,-110.925468151839
1.821,37.3752620878889,-110.039212400659
1.824,37.5591319933149,-109.153789828051
1.827,37.7439719511597,-108.269191090936
1.83,37.9297869670373,-107.385406898366
1.833,38.1165820801735,-106.5024280112
1.836,38.3043623636111,-105.620245241798
1.839,38.4931329244156,-104.738849453703
1.842,38.6828989038834,-103.858231561348
1.845,38.8736654777515,-102.978382529749
1.848,39.0654378564087,-102.09929337422
1.851,39.2582212851093,-101.220955160079
1.854,39.4520210441876,-100.343359002372
1.857,39.6468424492756,-99.4664960655926
1.86,39.8426908515206,-98.5903575634094
1.863,40.0395716378066,-97.7149347584019
1.866,40.2374902309764,-96.8402189617972
1.869,40.4364520900556,-95.9662015332143
1.872,40.6364627104787,-95.0928738804121
1.875,40.8375276243172,-94.2202274590432
1.878,41.0396524005094,-93.3482537724127
1.881,41.2428426450919,-92.4769443712417
1.884,41.4471040014335,-91.6062908534358
1.887,41.6524421504703,-90.7362848638592
1.89,41.8588628109436,-89.8669180941129
1.893,42.0663717396392,-88.9981822823183
1.896,42.2749747316285,-88.1300692129056
1.899,42.4846776205121,-87.2625707164079
1.902,42.695486278665,-86.3956786692585
1.905,42.9074066174837,-85.5293849935949
1.908,43.120444587636,-84.6636816570667
1.911,43.3346061793116,-83.7985606726486
1.914,43.5498974224761,-82.9340140984585
1.917,43.7663243871261,-82.07003403758
1.92,43.9838931835462,-81.2066126378901
1.923,44.2026099625695,-80.343742091892
1.926,44.4224809158381,-79.4814146365521
1.929,44.6435122760676,-78.6196225531424
1.932,44.8657103173124,-77.7583581670874
1.935,45.0890813552337,-76.8976138478163
1.938,45.3136317473697,-76.0373820086191
1.941,45.5393678934076,-75.177655106509
1.944,45.7662962354582,-74.3184256420879
1.947,45.9944232583319,-73.4596861594186
1.95,46.223755489818,-72.6014292458999
1.953,46.4542995009655,-71.7436475321482
1.956,46.686061906366,-70.886333691883
1.959,46.9190493644391,-70.0294804418172
1.962,47.1532685777204,-69.1730805415534
1.965,47.3887262931509,-68.3171267934831
1.968,47.6254293023697,-67.4616120426924
1.971,47.8633844420079,-66.6065291768721
1.974,48.1025985939858,-65.7518711262325
1.977,48.3430786858118,-64.8976308634228
1.98,48.584831690884,-64.0438014034561
1.983,48.8278646287938,-63.1903758036389
1.986,49.0721845656322,-62.3373471635052
1.989,49.3177986142983,-61.4847086247565
1.992,49.5647139348104,-60.6324533712051
1.995,49.8129377346192,-59.7805746287242
1.998,50.0624772689236,-58.9290656652017
2.001,50.3133398409892,-58.0779197904991
2.004,50.5655328024688,-57.227130356416
2.007,50.8190635537256,-56.3766907566588
2.01,51.0739395441592,-55.5265944268154
2.013,51.3301682725337,-54.6768348443334
2.016,51.5877572873082,-53.8274055285052
2.019,51.8467141869706,-52.9783000404567
2.022,52.1070466203732,-52.1295119831418
2.025,52.368762287071,-51.2810350013419
2.028,52.6318689376633,-50.4328627816702
2.031,52.896374374137,-49.5849890525816
2.034,53.1622864502132,-48.7374075843876
2.037,53.4296130716958,-47.8901121892764
2.04,53.6983621968237,-47.0430967213381
2.043,53.9685418366247,-46.1963550765951
2.046,54.240160055273,-45.3498811930381
2.049,54.5132249704483,-44.5036690506674
2.052,54.7877447536993,-43.6577126715389
2.055,55.0637276308083,-42.8120061198163
2.058,55.3411818821595,-41.9665435018277
2.061,55.62011584311,-41.1213189661294
2.064,55.9005379043631,-40.2763267035723
2.067,56.1824565123457,-39.431560947377
2.07,56.4658801695866,-38.5870159732116
2.073,56.7508174350995,-37.7426860992776
2.076,57.0372769247683,-36.8985656863988
2.079,57.3252673117346,-36.054649138118
2.082,57.614797326789,-35.2109309007982
2.085,57.9058757587653,-34.3674054637299
2.088,58.1985114549371,-33.5240673592438
2.091,58.4927133214179,-32.68091116283
2.094,58.7884903235639,-31.837931493262
2.097,59.0858514863802,-30.9951230127277
2.1,59.3848058949298,-30.1524804269651
2.103,59.6853626947455,-29.3099984854052
2.106,59.987531092245,-28.46767198132
2.109,60.2913203551497,-27.6254957519767
2.112,60.5967398129057,-26.7834646787989
2.115,60.9037988571082,-25.9415736875323
2.118,61.2125069419298,-25.099817748418
2.121,61.522873584551,-24.2581918763715
2.124,61.8349083655945,-23.416691131168
2.127,62.1486209295625,-22.5753106176347
2.13,62.4640209852772,-21.7340454858479
2.133,62.7811183063251,-20.8928909313384
2.136,63.0999227315037,-20.0518421953029
2.139,63.4204441652721,-19.2108945648211
2.142,63.7426925782051,-18.3700433730803
2.145,64.06667800745,-17.5292839996069
2.148,64.3924105571873,-16.6886118705041
2.151,64.7199003990948,-15.8480224586964
2.154,65.0491577728147,-15.0075112841817
2.157,65.3801929864243,-14.1670739142898
2.16,65.7130164169107,-13.3267059639481
2.163,66.0476385106479,-12.4864030959543
2.166,66.3840697838786,-11.6461610212564
2.169,66.7223208231985,-10.8059754992402
2.172,67.0624022860446,-9.96584233802382
2.175,67.4043249011874,-9.12575739475942
2.178,67.7480994692258,-8.28571657594301
2.181,68.0937368630864,-7.44571583773151
2.184,68.4412480285259,-6.60575118626722
2.187,68.7906439846378,-5.76581867801057
2.19,69.1419358243617,-4.9259144200801
2.193,69.4951347149971,-4.08603457060074
2.196,69.8502518987212,-3.24617533905997
2.199,70.2072986931092,-2.40633298667206
2.202,70.5662864916593,-1.56650382675032
2.205,70.9272267643214,-0.726684225087742
2.208,71.2901310580294,0.113129399653841
2.211,71.6550109972367,0.952940575546406
2.214,72.0218782844569,1.79275277698981
2.217,72.3907447008073,2.63256942429736
2.22,72.7616221065561,3.47239388327196
2.223,73.1345224416745,4.31222946477439
2.226,73.5094577263916,5.15207942428179
2.229,73.886440061754,5.99194696143783
2.232,74.265481630189,6.83183521959302
2.235,74.6465946960714,7.67174728533604
2.238,75.0297916062953,8.51168618801588
2.241,75.4150847908486,9.35165489925433
2.244,75.8024867633927,10.1916563324485
2.247,76.1920101218453,11.0316933422642
2.25,76.5836675489676,11.8717687241191
2.253,76.977471812956,12.7118852136557
2.256,77.3734357680368,13.552045486205
2.259,77.7715723550661,14.3922521562389
2.262,78.171894602133,15.2325077768129
2.265,78.5744156251678,16.0728148389982
2.268,78.9791486285533,16.913175771303
2.271,79.3861069057405,17.7535929390831
2.274,79.7953038398695,18.5940686439413
2.277,80.2067529043933,19.434605123117
2.28,80.6204676637061,20.2752045488624
2.283,81.0364617737764,21.1158690278094
2.286,81.4547489827836,21.9566006003239
2.289,81.8753431317593,22.7974012398488
2.292,82.2982581552325,23.6382728522351
2.295,82.7235080818796,24.479217275061
2.298,83.1511070351775,25.3202362769392
2.301,83.5810692340627,26.1613315568111
2.304,84.0134089935929,27.0025047432298
2.307,84.4481407256145,27.8437573936291
2.31,84.8852789394327,28.6850909935807
2.313,85.3248382424875,29.5265069560377
2.316,85.7668333410332,30.368006620566
2.319,86.2112790408222,31.2095912525611
2.322,86.6581902477932,32.051262042452
2.325,87.1075819687639,32.8930201048913
2.328,87.5594693121278,33.734866477932
2.331,88.0138674885553,34.5768021221885
2.334,88.4707918116998,35.4188279199857
2.337,88.9302576989064,36.2609446744911
2.34,89.3922806719276,37.1031531088343
