"dL []","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.056825,1.8,27.1774524978981,-162.119668189883
0.056825,1.803,27.302396594728,-161.272055517995
0.056825,1.806,27.4279304631423,-160.425660177216
0.056825,1.809,27.5540567316266,-159.580472505874
0.056825,1.812,27.6807780439197,-158.736482898531
0.056825,1.815,27.8080970590859,-157.893681805539
0.056825,1.818,27.9360164515887,-157.052059732611
0.056825,1.821,28.0645389113639,-156.211607240383
0.056825,1.824,28.1936671438945,-155.372314943994
0.056825,1.827,28.3234038702854,-154.534173512658
0.056825,1.83,28.453751827339,-153.697173669255
0.056825,1.833,28.5847137676314,-152.861306189911
0.056825,1.836,28.716292459589,-152.026561903597
0.056825,1.839,28.8484906875664,-151.192931691724
0.056825,1.842,28.9813112519238,-150.360406487742
0.056825,1.845,29.114756969106,-149.528977276751
0.056825,1.848,29.2488306717218,-148.698635095107
0.056825,1.851,29.3835352086233,-147.86937103004
0.056825,1.854,29.5188734449876,-147.041176219272
0.056825,1.857,29.6548482623963,-146.214041850642
0.056825,1.86,29.7914625589189,-145.387959161732
0.056825,1.863,29.9287192491944,-144.562919439499
0.056825,1.866,30.0666212645145,-143.738914019912
0.056825,1.869,30.2051715529075,-142.915934287595
0.056825,1.872,30.3443730792227,-142.093971675465
0.056825,1.875,30.4842288252151,-141.273017664389
0.056825,1.878,30.6247417896318,-140.453063782828
0.056825,1.881,30.765914988298,-139.634101606499
0.056825,1.884,30.9077514542037,-138.816122758035
0.056825,1.887,31.0502542375921,-137.999118906648
0.056825,1.89,31.1934264060477,-137.183081767796
0.056825,1.893,31.3372710445853,-136.36800310286
0.056825,1.896,31.4817912557401,-135.553874718815
0.056825,1.899,31.6269901596576,-134.740688467911
0.056825,1.902,31.7728708941856,-133.928436247356
0.056825,1.905,31.9194366149652,-133.117109999008
0.056825,1.908,32.066690495524,-132.306701709057
0.056825,1.911,32.2146357273693,-131.497203407727
0.056825,1.914,32.3632755200817,-130.688607168971
0.056825,1.917,32.5126131014102,-129.880905110171
0.056825,1.92,32.6626517173675,-129.074089391848
0.056825,1.923,32.8133946323265,-128.268152217365
0.056825,1.926,32.9648451291167,-127.463085832642
0.056825,1.929,33.1170065091219,-126.658882525872
0.056825,1.932,33.2698820923794,-125.855534627241
0.056825,1.935,33.4234752176781,-125.053034508645
0.056825,1.938,33.5777892426588,-124.251374583423
0.056825,1.941,33.7328275439152,-123.450547306081
0.056825,1.944,33.8885935170952,-122.650545172027
0.056825,1.947,34.0450905770026,-121.851360717303
0.056825,1.95,34.2023221577009,-121.052986518332
0.056825,1.953,34.3602917126164,-120.25541519165
0.056825,1.956,34.5190027146433,-119.458639393659
0.056825,1.959,34.6784586562489,-118.662651820373
0.056825,1.962,34.8386630495795,-117.867445207168
0.056825,1.965,34.9996194265679,-117.073012328542
0.056825,1.968,35.161331339041,-116.279345997866
0.056825,1.971,35.3238023588281,-115.486439067152
0.056825,1.974,35.4870360778711,-114.694284426811
0.056825,1.977,35.6510361083343,-113.902875005426
0.056825,1.98,35.8158060827156,-113.112203769518
0.056825,1.983,35.9813496539587,-112.322263723321
0.056825,1.986,36.1476704955659,-111.533047908557
0.056825,1.989,36.3147723017118,-110.744549404217
0.056825,1.992,36.4826587873581,-109.956761326342
0.056825,1.995,36.651333688369,-109.169676827808
0.056825,1.998,36.8208007616275,-108.383289098115
0.056825,2.001,36.9910637851529,-107.597591363175
0.056825,2.004,37.1621265582187,-106.812576885108
0.056825,2.007,37.3339929014723,-106.028238962041
0.056825,2.01,37.5066666570546,-105.244570927899
0.056825,2.013,37.6801516887209,-104.461566152218
0.056825,2.016,37.8544518819633,-103.67921803994
0.056825,2.019,38.0295711441331,-102.897520031228
0.056825,2.022,38.205513404565,-102.116465601272
0.056825,2.025,38.3822826147018,-101.336048260104
0.056825,2.028,38.5598827482199,-100.556261552413
0.056825,2.031,38.7383178011565,-99.7770990573659
0.056825,2.034,38.9175917920372,-98.9985543884251
0.056825,2.037,39.0977087620046,-98.2206211931756
0.056825,2.04,39.2786727749485,-97.44329315315
0.056825,2.043,39.4604879176361,-96.6665639836583
0.056825,2.046,39.6431582998446,-95.8904274336197
0.056825,2.049,39.8266880544935,-95.1148772853974
0.056825,2.052,40.0110813377787,-94.3399073546351
0.056825,2.055,40.1963423293077,-93.5655114900975
0.056825,2.058,40.3824752322356,-92.7916835735119
0.056825,2.061,40.5694842734022,-92.0184175194138
0.056825,2.064,40.7573737034702,-91.2457072749936
0.056825,2.067,40.946147797065,-90.4735468199472
0.056825,2.07,41.1358108529147,-89.7019301663283
0.056825,2.073,41.3263671939922,-88.9308513584033
0.056825,2.076,41.5178211676577,-88.1603044725091
0.056825,2.079,41.7101771458028,-87.3902836169132
0.056825,2.082,41.9034395249954,-86.6207829316759
0.056825,2.085,42.0976127266264,-85.851796588516
0.056825,2.088,42.2927011970568,-85.0833187906777
0.056825,2.091,42.4887094077665,-84.315343772801
0.056825,2.094,42.6856418555045,-83.547865800794
0.056825,2.097,42.8835030624396,-82.7808791717082
0.056825,2.1,43.0822975763132,-82.0143782136154
0.056825,2.103,43.2820299705929,-81.2483572854878
0.056825,2.106,43.482704844627,-80.4828107770799
0.056825,2.109,43.6843268238012,-79.7177331088141
0.056825,2.112,43.8869005596961,-78.9531187316667
0.056825,2.115,44.0904307302458,-78.1889621270582
0.056825,2.118,44.2949220398981,-77.4252578067452
0.056825,2.121,44.5003792197762,-76.662000312714
0.056825,2.124,44.7068070278413,-75.8991842170786
0.056825,2.127,44.9142102490572,-75.136804121979
0.056825,2.13,45.1225936955555,-74.3748546594827
0.056825,2.133,45.3319622068032,-73.6133304914894
0.056825,2.136,45.5423206497703,-72.8522263096368
0.056825,2.139,45.7536739191008,-72.0915368352095
0.056825,2.142,45.9660269372833,-71.33125681905
0.056825,2.145,46.1793846548237,-70.5713810414725
0.056825,2.148,46.3937520504204,-69.8119043121789
0.056825,2.151,46.609134131139,-69.0528214701765
0.056825,2.154,46.8255359325906,-68.2941273836993
0.056825,2.157,47.0429625191102,-67.535816950131
0.056825,2.16,47.261418983937,-66.7778850959304
0.056825,2.163,47.4809104493969,-66.0203267765591
0.056825,2.166,47.7014420670858,-65.2631369764119
0.056825,2.169,47.9230190180547,-64.5063107087497
0.056825,2.172,48.145646512997,-63.7498430156342
0.056825,2.175,48.3693297924365,-62.9937289678654
0.056825,2.178,48.594074126918,-62.2379636649217
0.056825,2.181,48.819884817199,-61.4825422349021
0.056825,2.184,49.0467671944433,-60.7274598344704
0.056825,2.187,49.2747266204161,-59.9727116488034
