"Freq [GHz]","St(1,1) []"
1.8,0.760609500864341 - 0.502865889344307i
1.803,0.758311707321015 - 0.50422198368987i
1.806,0.755990145662145 - 0.505572623958108i
1.809,0.753644600380472 - 0.506917532524455i
1.812,0.751274856188052 - 0.508256424965485i
1.815,0.748880698126034 - 0.509589009935658i
1.818,0.746461911679215 - 0.510914989043378i
1.821,0.744018282895503 - 0.512234056726436i
1.824,0.741549598510441 - 0.513545900126938i
1.827,0.739055646076923 - 0.514850198965829i
1.83,0.736536214100263 - 0.516146625417094i
1.833,0.733991092178756 - 0.517434843981777i
1.836,0.731420071149871 - 0.518714511361923i
1.839,0.728822943242246 - 0.519985276334568i
1.842,0.726199502233621 - 0.521246779625934i
1.845,0.723549543614865 - 0.522498653785947i
1.848,0.720872864760248 - 0.523740523063248i
1.851,0.71816926510412 - 0.52497200328086i
1.854,0.715438546324133 - 0.526192701712665i
1.857,0.712680512531179 - 0.527402216960893i
1.86,0.709894970466184 - 0.528600138834791i
1.863,0.707081729703908 - 0.529786048230693i
1.866,0.704240602863919 - 0.530959517013685i
1.869,0.701371405828864 - 0.532120107901093i
1.872,0.698473957970217 - 0.533267374348023i
1.875,0.695548082381619 - 0.534400860435201i
1.878,0.692593606119969 - 0.53552010075936i
1.881,0.689610360454408 - 0.53662462032645i
1.884,0.686598181123327 - 0.537713934447937i
1.887,0.683556908599522 - 0.538787548640501i
1.89,0.680486388363646 - 0.539844958529414i
1.893,0.677386471186053 - 0.540885649755934i
1.896,0.674257013417173 - 0.541909097889039i
1.899,0.671097877286514 - 0.542914768341841i
1.902,0.667908931210392 - 0.543902116293045i
1.905,0.664690050108492 - 0.544870586613818i
1.908,0.661441115729344 - 0.54581961380046i
1.911,0.658162016984769 - 0.546748621913273i
1.914,0.654852650293398 - 0.547657024522047i
1.917,0.651512919933276 - 0.548544224658585i
1.92,0.648142738403623 - 0.549409614776727i
1.923,0.644742026795765 - 0.550252576720306i
1.926,0.641310715173254 - 0.551072481699541i
1.929,0.637848742961169 - 0.55186869027633i
1.932,0.634356059344587 - 0.552640552358961i
1.935,0.630832623676191 - 0.55338740720675i
1.938,0.627278405892945 - 0.554108583445144i
1.941,0.623693386941783 - 0.554803399091836i
1.944,0.620077559214202 - 0.555471161594445i
1.947,0.61643092698965 - 0.55611116788034i
1.95,0.612753506887558 - 0.556722704419197i
1.953,0.609045328327871 - 0.557305047298881i
1.956,0.605306433999857 - 0.557857462315271i
1.959,0.601536880339006 - 0.558379205076647i
1.962,0.597736738011746 - 0.558869521123274i
1.965,0.593906092407708 - 0.559327646062824i
1.968,0.590045044139232 - 0.559752805722296i
1.971,0.586153709547765 - 0.560144216317075i
1.974,0.582232221216781 - 0.560501084637825i
1.977,0.578280728490791 - 0.56082260825586i
1.98,0.574299398000018 - 0.561107975747687i
1.983,0.570288414190221 - 0.561356366939399i
1.986,0.56624797985716 - 0.561566953171585i
1.989,0.562178316685108 - 0.561738897585457i
1.992,0.558079665788812 - 0.561871355430853i
1.995,0.553952288258232 - 0.561963474396798i
1.998,0.549796465705367 - 0.562014394965291i
2.001,0.545612500812396 - 0.562023250788974i
2.004,0.541400717880351 - 0.561989169093325i
2.007,0.537161463377469 - 0.56191127110401i
2.01,0.532895106486323 - 0.561788672500028i
2.013,0.528602039648781 - 0.561620483893211i
2.016,0.5242826791078 - 0.561405811334697i
2.019,0.519937465444997 - 0.561143756848892i
2.022,0.51556686411289 - 0.560833418995464i
2.025,0.511171365960659 - 0.560473893459857i
2.028,0.506751487752208 - 0.560064273672772i
2.031,0.502307772675272 - 0.559603651459046i
2.034,0.497840790840247 - 0.559091117716284i
2.037,0.493351139767377 - 0.558525763123597i
2.04,0.488839444860873 - 0.557906678880706i
2.043,0.484306359868508 - 0.557232957477634i
2.046,0.47975256732514 - 0.556503693495168i
2.049,0.47517877897863 - 0.555717984436173i
2.052,0.470585736196502 - 0.554874931587806i
2.055,0.465974210351717 - 0.553973640914584i
2.058,0.461345003185842 - 0.553013223982205i
2.061,0.456698947147874 - 0.551992798911916i
2.064,0.452036905706946 - 0.550911491365158i
2.067,0.447359773637103 - 0.549768435558118i
2.07,0.442668477272306 - 0.548562775305731i
2.073,0.437963974729792 - 0.547293665094572i
2.076,0.433247256099919 - 0.545960271183977i
2.079,0.428519343600572 - 0.544561772734635i
2.082,0.423781291694231 - 0.543097362963763i
2.085,0.419034187165778 - 0.541566250325895i
2.088,0.414279149159114 - 0.539967659718159i
2.091,0.409517329170689 - 0.538300833708837i
2.094,0.404749910998027 - 0.536565033787852i
2.097,0.399978110641394 - 0.534759541637708i
2.1,0.395203176156727 - 0.532883660423288i
2.103,0.390426387458034 - 0.530936716098786i
2.106,0.38564905606749 - 0.528918058729903i
2.109,0.380872524811507 - 0.526827063829326i
2.112,0.376098167461122 - 0.524663133703366i
2.115,0.371327388315126 - 0.522425698807501i
2.118,0.366561621724424 - 0.520114219108442i
2.121,0.361802331556209 - 0.517728185450208i
2.124,0.357051010596635 - 0.51526712092157i
2.127,0.352309179890789 - 0.512730582222098i
2.13,0.347578388018849 - 0.510118161023933i
2.133,0.342860210307508 - 0.507429485326266i
2.136,0.338156247975801 - 0.504664220799435i
2.139,0.333468127214684 - 0.501822072115382i
2.142,0.328797498199846 - 0.498902784261197i
2.145,0.32414603403741 - 0.495906143832292i
2.148,0.319515429642336 - 0.492831980301738i
2.151,0.314907400549557 - 0.48968016726218i
2.154,0.310323681658048 - 0.486450623636696i
2.157,0.305766025908239 - 0.483143314854904i
2.16,0.301236202893396 - 0.47975825399059i
2.163,0.29673599740579 - 0.476295502857071i
2.166,0.292267207918738 - 0.472755173056532i
2.169,0.287831645005778 - 0.469137426979517i
2.172,0.283431129698507 - 0.465442478750814i
2.175,0.279067491784836 - 0.461670595117964i
2.178,0.274742568049659 - 0.457822096278666i
2.181,0.270458200460153 - 0.453897356643432i
2.184,0.266216234298207 - 0.449896805529883i
2.187,0.262018516242677 - 0.44582092778518i
2.19,0.257866892404427 - 0.44167026433319i
2.193,0.253763206317351 - 0.437445412643109i
2.196,0.249709296888784 - 0.433147027116395i
2.199,0.245706996312962 - 0.428775819389025i
2.202,0.241758127951393 - 0.424332558546262i
2.205,0.237864504184212 - 0.419818071247302i
2.208,0.234027924236799 - 0.415233241757398i
2.211,0.230250171986146 - 0.410579011885234i
2.214,0.226533013751587 - 0.405856380823618i
2.217,0.222878196074739 - 0.401066404891754i
2.22,0.219287443493593 - 0.396210197177679i
2.223,0.215762456315861 - 0.39128892707967i
2.226,0.212304908396797 - 0.386303819745759i
2.229,0.208916444926792 - 0.381256155410775i
2.232,0.205598680234153 - 0.376147268630648i
2.235,0.202353195608514 - 0.370978547414033i
2.238,0.19918153715036 - 0.365751432251611i
2.241,0.196085213652195 - 0.360467415043803i
2.244,0.193065694516846 - 0.355128037927926i
2.247,0.190124407718389 - 0.34973489200616i
2.25,0.187262737811117 - 0.344289615976064i
2.253,0.184482023991924 - 0.338793894665676i
2.256,0.181783558221349 - 0.333249457475587i
2.259,0.179168583408426 - 0.327658076730703i
2.262,0.176638291664349 - 0.322021565944727i
2.265,0.174193822629768 - 0.316341778000707i
2.268,0.171836261880389 - 0.310620603251301i
2.271,0.169566639415295 - 0.304859967542703i
2.274,0.167385928232221 - 0.299061830166447i
2.277,0.165295042993742 - 0.293228181743567i
2.28,0.16329483878807 - 0.287361042045856i
2.283,0.161386109987888 - 0.281462457759166i
2.286,0.159569589210331 - 0.275534500193932i
2.289,0.157845946380932 - 0.269579262948268i
2.292,0.156215787904002 - 0.263598859529163i
2.295,0.154679655941597 - 0.257595420937454i
2.298,0.153238027802866 - 0.251571093222368i
2.301,0.151891315445228 - 0.245528035011515i
2.304,0.150639865088461 - 0.239468415022319i
2.307,0.149483956942417 - 0.233394409560893i
2.31,0.148423805048732 - 0.227308200014398i
2.313,0.147459557236511 - 0.221211970342939i
2.316,0.146591295191608 - 0.215107904577001i
2.319,0.145819034638775 - 0.208998184326406i
2.322,0.145142725635587 - 0.202884986306681i
2.325,0.144562252976689 - 0.196770479888624i
2.328,0.144077436706602 - 0.190656824676762i
2.331,0.143688032738974 - 0.184546168122225i
2.334,0.14339373357984 - 0.178440643175406i
2.337,0.143194169152178 - 0.172342365983598i
2.34,0.143088907718727 - 0.166253433638602i
2.343,0.143077456899786 - 0.160175921979049i
2.346,0.143159264782449 - 0.154111883452001i
2.349,0.143333721117483 - 0.148063345038077i
2.352,0.143600158599859 - 0.142032306244142i
2.355,0.14395785422873 - 0.136020737167296i
2.358,0.144406030742485 - 0.130030576633615i
2.361,0.144943858124344 - 0.124063730414817i
2.364,0.14557045517382 - 0.118122069525705i
2.367,0.146284891139276 - 0.11220742860495i
2.37,0.1470861874067 - 0.106321604381469i
2.373,0.147973319239741 - 0.100466354228331i
2.376,0.148945217566029 - 0.0946433948058213i
2.379,0.15000077080474 - 0.0888544007949829i
2.382,0.15113882673038 - 0.0831010037226548i
2.385,0.152358194367765 - 0.0773847908787101i
2.388,0.153657645913204 - 0.0717073043259127i
2.391,0.155035918676948 - 0.0660700400025183i
2.394,0.156491717042026 - 0.0604744469174583i
2.397,0.158023714434673 - 0.0549219264376846i
2.4,0.159630555301668 - 0.0494138316669716i
2.403,0.16131085708999 - 0.0439514669152413i
2.406,0.163063212224354 - 0.0385360872572241i
2.409,0.164886190078306 - 0.0331688981790387i
2.412,0.166778338934722 - 0.0278510553110756i
2.415,0.168738187931721 - 0.022583664245346i
2.418,0.170764248990145 - 0.0173677804352961i
2.421,0.172855018718993 - 0.0122044091758844i
2.424,0.175008980295313 - 0.00709450566159411i
2.427,0.177224605315309 - 0.00203897511988812i
2.43,0.179500355613575 + 0.00296132698251172i
2.433,0.18183468504759 + 0.00790559466324532i
2.436,0.184226041244802 + 0.012793071080669i
2.439,0.186672867309833 + 0.0176230481258511i
2.442,0.189173603489535 + 0.0223948659531938i
2.445,0.191726688793852 + 0.0271079124527375i
2.448,0.19433056257061 + 0.0317616226672101i
2.451,0.196983666032595 + 0.0363554781569577i
2.454,0.199684443735438 + 0.0408890063158859i
2.457,0.202431345005062 + 0.0453617796415547i
2.46,0.205222825313577 + 0.0497734149625687i
2.463,0.208057347602771 + 0.0541235726263851i
2.466,0.210933383554426 + 0.0584119556506373i
2.469,0.213849414806964 + 0.0626383088410457i
2.472,0.216803934118001 + 0.0668024178789275i
2.475,0.219795446472613 + 0.0709041083812835i
2.478,0.222822470137239 + 0.0749432449363692i
2.481,0.225883537659278 + 0.0789197301175996i
2.484,0.228977196812631 + 0.0828335034785569i
2.487,0.232102011489482 + 0.0866845405318026i
2.49,0.235256562538823 + 0.0904728517141034i
2.493,0.238439448552273 + 0.0941984813406021i
2.496,0.241649286597892 + 0.0978615065503717i
2.499,0.244884712902758 + 0.101462036245693i
2.502,0.248144383485188 + 0.105000210027302i
2.505,0.251426974737561 + 0.108476197127773i
2.508,0.25473118396076 + 0.111890195345059i
2.511,0.258055729851351 + 0.115242429978169i
2.514,0.261399352942641 + 0.118533152766819i
2.517,0.264760816000841 + 0.121762640836793i
2.52,0.268138904377589 + 0.124931195652689i
2.523,0.271532426320138 + 0.128039141979563i
2.526,0.274940213240542 + 0.131086826854951i
2.529,0.278361119945203 + 0.134074618572586i
2.532,0.281794024826177 + 0.137002905679096i
2.535,0.285237830015622 + 0.139872095984808i
2.538,0.288691461504832 + 0.142682615589749i
2.541,0.29215386922925 + 0.145434907925803i
2.544,0.295624027120921 + 0.148129432815921i
2.547,0.299100933129772 + 0.150766665551177i
2.55,0.302583609215169 + 0.153347095986394i
2.553,0.30607110130914 + 0.155871227654982i
2.556,0.309562479252672 + 0.158339576903539i
2.559,0.31305683670646 + 0.160752672046723i
2.562,0.316553291037462 + 0.163111052542792i
2.565,0.32005098318261 + 0.16541526819018i
2.568,0.323549077490992 + 0.167665878345382i
2.571,0.327046761545782 + 0.169863451162389i
2.574,0.330543245967202 + 0.17200856285382i
2.577,0.334037764197725 + 0.174101796973883i
2.58,0.337529572270738 + 0.176143743723214i
2.583,0.34101794856382 + 0.178134999275602i
2.586,0.344502193537784 + 0.180076165126589i
2.589,0.347981629462568 + 0.181967847463833i
2.592,0.351455600131051 + 0.183810656559147i
2.595,0.354923470561829 + 0.18560520618205i
2.598,0.358384626691924 + 0.187352113034638i
2.601,0.361838475060404 + 0.189051996207557i
2.604,0.365284442483833 + 0.190705476656839i
2.607,0.368721975724417 + 0.192313176701307i
2.61,0.37215054115172 + 0.193875719540269i
2.613,0.375569624398749 + 0.195393728791168i
2.616,0.378978730013178 + 0.19686782804684i
2.619,0.382377381104467 + 0.198298640452046i
2.622,0.385765118987578 + 0.199686788298871i
2.625,0.389141502823947 + 0.201032892640631i
2.628,0.392506109260374 + 0.202337572923861i
2.631,0.395858532066411 + 0.203601446638001i
2.634,0.399198381770842 + 0.204825128982332i
2.637,0.402525285297782 + 0.206009232549767i
2.64,0.405838885602914 + 0.20715436702703i
2.643,0.409138841310339 + 0.208261138910824i
2.646,0.412424826350497 + 0.209330151239517i
2.649,0.415696529599574 + 0.210362003339929i
2.652,0.418953654520799 + 0.211357290588762i
2.655,0.422195918807998 + 0.212316604188243i
2.658,0.425423054031743 + 0.213240530955538i
